date,nav
2024-05-24,108.2507
2024-05-27,108.7332
2024-05-28,109.1116
2024-05-29,109.4552
2024-05-30,109.1792
2024-05-31,109.2998
2024-06-03,109.5981
2024-06-04,109.6176
2024-06-05,110.4078
2024-06-06,111.0443
2024-06-07,110.3163
2024-06-10,109.7498
2024-06-11,109.5721
2024-06-12,109.9973
2024-06-13,109.2668
2024-06-14,109.6191
2024-06-17,109.4643
2024-06-18,110.3445
2024-06-19,110.406
2024-06-20,111.0133
2024-06-21,111.0584
2024-06-24,110.9997
2024-06-25,110.3411
2024-06-26,110.6462
2024-06-27,110.7791
2024-06-28,110.3296
2024-07-01,110.6669
2024-07-02,110.1213
2024-07-03,110.5394
2024-07-04,110.4787
2024-07-05,110.7791
2024-07-08,110.499
2024-07-09,110.248
2024-07-10,110.3158
2024-07-11,110.226
2024-07-12,111.1306
2024-07-15,110.1563
2024-07-16,109.9986
2024-07-17,109.2377
2024-07-18,109.4094
2024-07-19,109.4887
2024-07-22,109.6977
2024-07-23,110.3847
2024-07-24,110.7708
2024-07-25,110.7554
2024-07-26,110.4621
2024-07-29,110.1733
2024-07-30,110.2136
2024-07-31,110.3342
2024-08-01,110.8251
2024-08-02,111.2368
2024-08-05,110.6164
2024-08-06,112.2684
2024-08-07,111.9702
2024-08-08,111.3689
2024-08-09,111.3496
2024-08-12,111.9497
2024-08-13,111.7855
2024-08-14,112.6039
2024-08-15,113.4558
2024-08-16,112.5298
2024-08-19,113.1417
2024-08-20,114.1834
2024-08-21,115.4184
2024-08-22,114.525
2024-08-23,115.0856
2024-08-26,115.4492
2024-08-27,115.3357
2024-08-28,114.6611
2024-08-29,115.2022
2024-08-30,115.6155
2024-09-02,114.3026
2024-09-03,112.6329
2024-09-04,113.4315
2024-09-05,113.8455
2024-09-06,113.4409
2024-09-09,114.1465
2024-09-10,114.5925
2024-09-11,114.8713
2024-09-12,115.3516
2024-09-13,115.0123
2024-09-16,114.902
2024-09-17,115.2693
2024-09-18,115.3612
2024-09-19,115.4977
2024-09-20,114.9404
2024-09-23,114.9965
2024-09-24,113.9037
2024-09-25,113.7234
2024-09-26,113.9823
2024-09-27,114.0522
2024-09-30,113.3065
2024-10-01,113.2612
2024-10-02,112.9284
2024-10-03,112.9879
2024-10-04,112.8026
2024-10-07,113.0648
2024-10-08,112.9274
2024-10-09,113.3582
2024-10-10,113.6611
2024-10-11,113.2855
2024-10-14,113.2025
2024-10-15,113.121
2024-10-16,112.9996
2024-10-17,112.6448
2024-10-18,113.0257
2024-10-21,113.1173
2024-10-22,113.4783
2024-10-23,113.0126
2024-10-24,113.2459
2024-10-25,112.4667
2024-10-28,112.2562
2024-10-29,112.9133
2024-10-30,113.6899
2024-10-31,113.7129
2024-11-01,114.8762
2024-11-04,114.7997
2024-11-05,114.5176
2024-11-06,114.4461
2024-11-07,114.4379
2024-11-08,113.803
2024-11-11,112.2333
2024-11-12,113.1174
2024-11-13,113.5312
2024-11-14,112.8616
2024-11-15,112.7373
2024-11-18,112.2706
2024-11-19,112.5347
2024-11-20,113.0009
2024-11-21,113.3966
2024-11-22,114.1127
2024-11-25,115.0003
2024-11-26,115.65
2024-11-27,115.3583
2024-11-28,116.0958
2024-11-29,116.5365
2024-12-02,117.2348
2024-12-03,118.492
2024-12-04,118.2774
2024-12-05,119.4143
2024-12-06,119.8011
2024-12-09,119.7763
2024-12-10,119.2487
2024-12-11,118.7504
2024-12-12,118.546
2024-12-13,119.7635
2024-12-16,119.4962
2024-12-17,119.9744
2024-12-18,119.8504
2024-12-19,119.6476
2024-12-20,120.1023
2024-12-23,121.2886
2024-12-24,121.0258
2024-12-25,121.1901
2024-12-26,120.3508
2024-12-27,119.9942
2024-12-30,119.4362
